cuisine,Restaraunts,Count
Brazilian,"[u'71207', u'65251', u'78814', u'64756', u'71367', u'57174', u'59211']",7
Crepes,"[u'79680', u'79900', u'64388', u'71949', u'82139', u'81384', u'71628', u'79357', u'79185', u'79503', u'78722', u'75369', u'67733', u'81661', u'79262', u'81524', u'66139', u'81415']",18
Caribbean,"[u'73221', u'73223', u'72817', u'82006', u'76470', u'74561', u'69150', u'60273', u'78793', u'66886', u'78886', u'58963', u'69068', u'82227', u'73222', u'62230', u'81274', u'71888', u'78650', u'73074', u'76032', u'73220', u'64295', u'75557', u'68422']",25
Burger Week,[u'70355'],1
Vietnamese,"[u'68635', u'82231', u'73233', u'71602', u'72531', u'30780', u'79849', u'68042', u'70089', u'66353', u'68554', u'80553', u'66983', u'67799', u'67725', u'66126', u'74525', u'79582', u'81491', u'67400', u'66855', u'79375', u'68180', u'70396', u'67875', u'81356', u'61679', u'69045', u'75712', u'81756', u'77964', u'74258', u'75275', u'61288', u'31517', u'77755', u'71554', u'62360', u'76341', u'68215', u'60283', u'79893', u'61659', u'64402']",44
Bagels,"[u'66991', u'78997', u'78801', u'69687', u'62699', u'72868', u'79284', u'66636', u'58800', u'62317', u'57', u'76681', u'67193', u'63616', u'72869', u'69062', u'64761', u'57705', u'79041', u'72828', u'73140', u'71948', u'68398', u'72867', u'64540', u'75547', u'63625', u'70256', u'75931', u'70835', u'63060', u'68188', u'58264', u'69915', u'79147', u'68679', u'79923', u'73556', u'63923', u'70399', u'74725', u'73060', u'74818', u'69147', u'74673', u'79342', u'67204', u'73851', u'41615', u'71842', u'72303', u'69961', u'75188', u'74563', u'73477', u'71398', u'68438', u'60086']",58
French,"[u'70329', u'71586', u'61262', u'80483', u'64337', u'57882', u'79900', u'74530', u'64820', u'79357', u'64520', u'72495', u'75119', u'77604', u'78722', u'82019', u'75369', u'76773', u'72269', u'72773', u'78855', u'64280', u'74153', u'69654', u'82360', u'59955', u'67358', u'78382', u'79530', u'81524', u'78987', u'79934', u'81485', u'81611', u'503', u'62170', u'76842', u'82328', u'69606', u'81415', u'73532', u'71633']",42
Gluten-Free,"[u'74494', u'79668', u'30691', u'79765', u'74264', u'75099', u'79509', u'75925', u'62555', u'72541', u'71268', u'80563', u'75211', u'68451', u'73379', u'80564', u'73633', u'80560', u'40294', u'79441', u'61575', u'81648', u'79503', u'64145', u'75434', u'61628', u'79931', u'62734', u'76834', u'64280', u'71303', u'61633', u'81661', u'75103', u'81325', u'79755', u'75334', u'74830', u'79679', u'81998', u'81757', u'81502', u'80565', u'79550', u'72744', u'74069', u'81533', u'73852', u'68044', u'81754', u'74723', u'72086', u'79104', u'76334', u'75320', u'82268', u'72795', u'80269']",58
Indian,"[u'74494', u'68635', u'80478', u'79066', u'73160', u'78851', u'60245', u'77635', u'76863', u'79315', u'4735', u'81090', u'78903', u'78455', u'70990', u'1071', u'78820', u'61262', u'74930', u'62325', u'77683', u'77683', u'79228', u'76615', u'68952', u'75690', u'68404', u'79014', u'61615', u'61174', u'81441', u'75204', u'66989', u'76348', u'35676', u'75206', u'71604', u'72657', u'72410', u'79912', u'80078', u'81358', u'76330', u'65227', u'76497', u'56503', u'80557', u'64000', u'73633', u'67855', u'78517', u'82060', u'72238', u'80601', u'80435', u'80574', u'79235', u'81507', u'40294', u'68935', u'79300', u'73402', u'62198', u'69935', u'60197', u'60267', u'75812', u'73637', u'79592', u'80436', u'498', u'70113', u'69366', u'68477', u'57701', u'64978', u'82148', u'67189', u'67503', u'80368', u'62291', u'52055', u'69138', u'72019', u'80398', u'79527', u'67933', u'69360', u'72126', u'68941', u'62197', u'72494', u'76849', u'76787', u'68278', u'74622', u'68880', u'74664', u'74777', u'63365', u'80300', u'64801', u'78798', u'81325', u'74392', u'68526', u'68688', u'30469', u'71477', u'70752', u'78072', u'79672', u'73840', u'58678', u'80128', u'76399', u'72606', u'79305', u'78568', u'64294', u'69875', u'79462', u'74566', u'61179', u'72044', u'79063', u'64480', u'62057', u'80143', u'79826', u'79482', u'79665', u'75033', u'75966', u'81095', u'61244', u'73852', u'73524', u'63402', u'80356', u'81279', u'72865', u'82419', u'81751', u'79451', u'74647', u'72795', u'74117', u'79943', u'81832']",150
Bakery,"[u'75810', u'78161', u'76681', u'81438', u'75829', u'75678', u'75606', u'76773', u'75547', u'75797', u'79148', u'79012', u'77420', u'79147', u'78382', u'74830', u'79052', u'78574', u'77580', u'79075', u'78493', u'78493']",22
